,grain0minZ
763,-0.57452273
764,-0.57452273
765,-0.57452273
766,-0.57452273
767,-0.57452273
768,-0.57452273
769,-0.57452273
770,-0.57452273
771,-0.57452273
772,-0.57452273
773,-0.57452273
774,-0.57452273
775,-0.57452273
776,-0.57452273
777,-0.57452273
778,-0.57452273
779,-0.57452273
780,-0.57452273
781,-0.57452273
782,-0.57452273
783,-0.57452273
784,-0.57452273
785,-0.57452273
786,-0.57452273
787,-0.57452273
788,-0.57452273
789,-0.57452273
790,-0.57452273
791,-0.57452273
792,-0.57452273
793,-0.57452273
794,-0.57452273
795,-0.57452273
796,-0.57452273
797,-0.57452273
798,-0.57452273
799,-0.57452273
800,-0.57452273
801,-0.57452273
802,-0.57452273
803,-0.57452273
804,-0.57452273
805,-0.57452273
806,-0.57452273
807,-0.57452273
808,-0.57452273
809,-0.57452273
810,-0.57452273
811,-0.57452273
812,-0.57452273
813,-0.57452273
814,-0.57452273
815,-0.57452273
816,-0.57452273
817,-0.57452273
818,-0.57452273
819,-0.57452273
820,-0.57452273
821,-0.57452273
822,-0.57452273
823,-0.57452273
824,-0.57452273
825,-0.57452273
826,-0.57452273
827,-0.57452273
828,-0.57452273
829,-0.57452273
830,-0.57452273
831,-0.57452273
832,-0.57452273
833,-0.57452273
834,-0.57452273
835,-0.57452273
836,-0.57452273
837,-0.57452273
838,-0.57452273
839,-0.57452273
840,-0.57452273
841,-0.57452273
842,-0.57452273
843,-0.57452273
844,-0.57452273
845,-0.57452273
846,-0.57452273
847,-0.57452273
848,-0.57452273
849,-0.57452273
850,-0.57452273
851,-0.57452273
852,-0.57452273
853,-0.57452273
854,-0.57452273
855,-0.57452273
856,-0.57452273
857,-0.57452273
858,-0.57452273
859,-0.57452273
860,-0.57452273
861,-0.57452273
862,-0.57452273
863,-0.57452273
864,-0.57452273
865,-0.57452273
866,-0.57452273
867,-0.57452273
868,-0.57452273
869,-0.57452273
870,-0.57452273
871,-0.57452273
872,-0.57452273
873,-0.57452273
874,-0.57452273
875,-0.57452273
876,-0.57452273
877,-0.57452273
878,-0.57452273
879,-0.57452273
880,-0.57452273
881,-0.57452273
882,-0.57452273
883,-0.57452273
884,-0.57452273
885,-0.57452273
886,-0.57452273
887,-0.57452273
888,-0.57452273
889,-0.57452273
890,-0.57452273
891,-0.57452273
892,-0.57452273
893,-0.57452273
894,-0.57452273
895,-0.57452273
896,-0.57452273
897,-0.57452273
898,-0.57452273
899,-0.57452273
900,-0.57452273
901,-0.57452273
902,-0.57452273
903,-0.57452273
904,-0.57452273
905,-0.57452273
906,-0.57452273
907,-0.57452273
908,-0.57452273
909,-0.57452273
910,-0.57452273
911,-0.57452273
912,-0.57452273
913,-0.57452273
914,-0.57452273
915,-0.57452273
916,-0.57452273
917,-0.57452273
918,-0.57452273
919,-0.57452273
920,-0.57452273
921,-0.57452273
922,-0.57452273
923,-0.57452273
924,-0.57452273
925,-0.57452273
926,-0.57452273
927,-0.57452273
928,-0.57452273
929,-0.57452273
930,-0.57452273
931,-0.57452273
932,-0.57452273
933,-0.57452273
934,-0.57452273
935,-0.57452273
936,-0.57452273
937,-0.57452273
938,-0.57452273
939,-0.57452273
940,-0.57452273
941,-0.57452273
942,-0.57452273
943,-0.57452273
944,-0.57452273
945,-0.57452273
946,-0.57452273
947,-0.57452273
948,-0.57452273
949,-0.57452273
950,-0.57452273
951,-0.57452273
952,-0.57452273
953,-0.57452273
954,-0.57452273
955,-0.57452273
956,-0.57452273
957,-0.57452273
958,-0.57452273
959,-0.57452273
960,-0.57452273
961,-0.57452273
962,-0.57452273
963,-0.57452273
964,-0.57452273
965,-0.57452273
966,-0.57452273
967,-0.57452273
968,-0.57452273
969,-0.57452273
970,-0.57452273
971,-0.57452273
972,-0.57452273
973,-0.57452273
974,-0.57452273
975,-0.57452273
976,-0.57452273
977,-0.57452273
978,-0.57452273
979,-0.57452273
980,-0.57452273
981,-0.57452273
982,-0.57452273
983,-0.57452273
984,-0.57452273
985,-0.57452273
986,-0.57452273
987,-0.57452273
988,-0.57452273
989,-0.57452273
990,-0.57452273
991,-0.57452273
992,-0.57452273
993,-0.57452273
994,-0.57452273
